# ADAPT-SQL Batch Processing Results
# Generated: 2026-05-05 22:26:23
# Total Queries: 100
#
# ========================================
# SUMMARY STATISTICS
# ========================================
#
Metric,Value,Percentage
Total Queries,100,100.0%
Valid SQL,100,100.0%
Execution Success,100,100.0%
Execution Accuracy (EX=1.0),91,91.0%
Exact-Set-Match (EM=1.0),11,11.0%
Average Composite Score,0.7500,75.0%
EASY Queries,14,14.0%
NON_NESTED_COMPLEX Queries,64,64.0%
NESTED_COMPLEX Queries,22,22.0%
Queries Requiring Retry,100,100.0%
Retry Success Rate,91,91.0%
#
# ========================================
# PER-QUERY RESULTS
# ========================================
#
Index,Database,Question,Complexity,Strategy,Num_Tables,Num_Columns,Generated_SQL,Ground_Truth_SQL,Is_Valid,Validation_Score,Num_Errors,Num_Warnings,Execution_Success,Execution_Time_Sec,Execution_Error,Execution_Accuracy_EX,Exact_Set_Match_EM,Evaluation_Score,Match_SELECT,Match_FROM,Match_WHERE,Match_GROUP_BY,Match_ORDER_BY,Retry_Attempts,Retry_Success,GoT_Winner,GoT_Primary_Rows,GoT_Alt_Rows,MC_Winner_Index,MC_Winner_Reason,MC_N_Candidates,Set_Op_Detected
0,concert_singer,How many singers do we have?,EASY,SIMPLE_FEW_SHOT,1,7,SELECT count(*) FROM singer;,SELECT count(*) FROM singer,True,1.0,1,0,True,0.003748178482055664,,True,True,1.0,True,True,True,True,True,1,True,,,,,,,False
1,concert_singer,What is the total number of singers?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,1,7,SELECT count(*) FROM singer;,SELECT count(*) FROM singer,True,1.0,1,0,True,0.0032095909118652344,,True,True,1.0,True,True,True,True,True,1,True,,,,,,,False
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT name,
       country,
       age
FROM singer
ORDER BY age DESC;","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,1.0,1,0,True,0.0034961700439453125,,True,False,0.8,True,True,True,True,False,1,True,,,,,,,False
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?",NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT Name,
       Country,
       Age
FROM singer
ORDER BY Age DESC;","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,1.0,1,0,True,0.003482341766357422,,True,False,0.8,True,True,True,True,False,1,True,,,,,,,False
4,concert_singer,"What is the average, minimum, and maximum age of all singers from France?",NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,16,"SELECT avg(age), min(age), max(age) FROM singer WHERE Country = 'France';","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",True,1.0,1,0,True,0.0033702850341796875,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
5,concert_singer,"What is the average, minimum, and maximum age for all French singers?",NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT avg(age), min(age), max(age) FROM singer WHERE Country = 'France';","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",True,1.0,1,0,True,0.003670930862426758,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
6,concert_singer,Show the name and the release year of the song by the youngest singer.,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,1,4,"SELECT Song_Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer);","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",True,0.95,1,1,True,0.0032205581665039062,,True,False,0.8,True,True,False,True,False,2,True,,,,,,,False
7,concert_singer,What are the names and release years for all the songs of the youngest singer?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,1,7,"SELECT Song_Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer);","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",True,0.95,1,1,True,0.002395153045654297,,True,False,0.8,True,True,False,True,False,1,True,,,,,,,False
8,concert_singer,What are all distinct countries where singers above age 20 are from?,EASY,SIMPLE_FEW_SHOT,1,2,SELECT DISTINCT Country FROM singer WHERE Age > 20;,SELECT DISTINCT country FROM singer WHERE age  >  20,True,0.92,2,0,True,0.0033223628997802734,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
9,concert_singer,What are  the different countries with singers above age 20?,EASY,SIMPLE_FEW_SHOT,1,7,SELECT DISTINCT Country FROM singer WHERE Age > 20;,SELECT DISTINCT country FROM singer WHERE age  >  20,True,0.92,2,0,True,0.0038917064666748047,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
10,concert_singer,Show all countries and the number of singers in each country.,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,1,7,"SELECT Country, COUNT(Singer_ID) FROM singer GROUP BY Country;","SELECT country ,  count(*) FROM singer GROUP BY country",True,1.0,1,0,True,0.0030901432037353516,,True,False,0.8,False,True,True,False,True,1,True,,,,,,,False
11,concert_singer,How many singers are from each country?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,1,7,"SELECT Country, COUNT(Singer_ID) FROM singer GROUP BY Country;","SELECT country ,  count(*) FROM singer GROUP BY country",True,1.0,1,0,True,0.003013134002685547,,True,False,0.8,False,True,True,False,True,1,True,,,,,,,False
12,concert_singer,List all song names by singers above the average age.,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer);,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),True,0.95,1,1,True,0.0032737255096435547,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
13,concert_singer,What are all the song names by singers who are older than average?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer);,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),True,0.95,1,1,True,0.0029375553131103516,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
14,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT LOCATION,
       name
FROM stadium
WHERE capacity BETWEEN 5000 AND 10000;","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",True,1.0,1,0,True,0.0029532909393310547,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
15,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT LOCATION,
       Name
FROM stadium
WHERE Capacity BETWEEN 5000 AND 10000;","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",True,1.0,1,0,True,0.003684520721435547,,True,False,0.8,True,True,False,True,True,1,True,,,,,,,False
16,concert_singer,What is the maximum capacity and the average of all stadiums ?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,1,7,"SELECT max(capacity), avg(capacity) FROM stadium;","select max(capacity), average from stadium",True,1.0,1,0,True,0.0035610198974609375,,False,False,0.0,False,True,True,True,True,4,False,,,,,,,False
17,concert_singer,What is the average and maximum capacities for all stadiums ?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT avg(capacity), max(capacity) FROM stadium;","select avg(capacity) ,  max(capacity) from stadium",True,1.0,1,0,True,0.003964662551879883,,True,True,1.0,True,True,True,True,True,1,True,,,,,,,False
18,concert_singer,What is the name and capacity for the stadium with highest average attendance?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,1,7,"SELECT name,
       capacity
FROM stadium
ORDER BY average DESC
LIMIT 1;","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",True,1.0,1,0,True,0.0030794143676757812,,True,True,1.0,True,True,True,True,True,1,True,,,,,,,False
19,concert_singer,What is the name and capacity for the stadium with the highest average attendance?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT stadium.Name,
       stadium.Capacity
FROM concert
JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID
GROUP BY stadium.Name,
         stadium.Capacity
ORDER BY AVG(stadium.Average) DESC
LIMIT 1;","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",True,0.5299999999999999,4,1,True,0.0029511451721191406,,True,False,0.8,False,False,True,False,False,1,True,,,,,,,False
20,concert_singer,How many concerts are there in year 2014 or 2015?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,4,21,"SELECT COUNT(concert_ID)
FROM concert
WHERE Year = '2014'
  OR Year = '2015';",SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,True,1.0,1,0,True,0.0029082298278808594,,True,False,0.8,False,True,False,True,True,1,True,,,,,,,False
21,concert_singer,How many concerts occurred in 2014 or 2015?,NON_NESTED_COMPLEX,INTERMEDIATE_REPRESENTATION,3,10,"SELECT count(YEAR) FROM concert WHERE YEAR IN ('2014', '2015');",SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,True,1.0,1,0,True,0.0025055408477783203,,True,False,0.8,False,True,False,True,True,1,True,,,,,,,False
